criteria,repo_id,repo_name,full_repo_name,url,sa_doc,sa_doc_link,domain,architectural_layer,capability_1,iso_mapping_cap_1,layer_cap_1,capability_2,iso_mapping_cap_2,layer_cap_2,capability_3,iso_mapping_cap_3,layer_cap_3,layer_caps,search_term,stars,desc.,lang,last_commit,commits_2024,n_commits,collaborators,template,fork,forks,size,score,archived,disabled
I2,R002,magistrala,absmach/magistrala,https://github.com/absmach/magistrala,YES,,"IIoT, Smart Environment",Infrastructure,Multi-Protocol IoT Communication Broker,Interface Capability,Device/Edge,"Identity, Authentication & Authorization Management",Supporting Capabilities,Cross-cutting,Scalable Microservices IoT Platform,Supporting Capabilities,Fog/Cloud ,Continuum,edge iot,24.0,Industrial IoT Messaging and Device Management Platform,Go,2025-01-20T10:43:07Z,336.0,1.761,69.0,False,False,8.0,145756.0,1.0,False,False
I3,R003,supermq,absmach/supermq,https://github.com/absmach/supermq,YES,https://docs.magistrala.abstractmachines.fr/architecture,"Data streaming processing, Smart Environment",Infrastructure,Multi-Protocol IoT Messaging Broker,Interface Capability,Device/Edge,Identity & Access Management for IoT,Supporting Capabilities,Cross-cutting,Scalable Microservices Architecture for IoT,Supporting Capabilities,Fog/Cloud ,Continuum,edge iot,2489.0,Event-driven Infrastructure for Modern Cloud,Go,2025-01-20T08:22:15Z,373.0,1.811,70.0,False,False,672.0,147242.0,1.0,False,False
I1,R007,aXeleRate,AIWintermuteAI/aXeleRate,https://github.com/AIWintermuteAI/aXeleRate,NO,,"Computer Vision, Efficient AI",Infrastructure,Model Training & Auto-Conversion,Supporting Capabilities,Edge,Multi-Format Hardware Optimization,Supporting Capabilities,Device/Edge,Configurable Workflow & Versioning,Supporting Capabilities,Fog/Edge,device ↔ fog,edge ai,180.0,Keras-based framework for AI on the Edge,Python,2024-03-05T09:24:49Z,3.0,265,5.0,False,False,71.0,9870.0,1.0,False,False
I3,R009,zilla,aklivity/zilla,https://github.com/aklivity/zilla,YES,https://docs.aklivity.io/zilla/latest/concepts/what-is-zilla.html#who-zilla-is-for,Data streaming processing,Infrastructure,Event-Driven API Gateway for IoT/Edge,Interface Capability,Edge/Fog,Multi-Protocol Event Streaming Integration,Interface Capability,Edge/Fog/Cloud,Low-Latency Edge Data Proxying,Data Capabilities,Cross-cutting,Continuum,edge-iot,563.0,"🦎 A multi-protocol edge & service proxy. Seamlessly interface web apps, IoT clients, & microservices to Apache Kafka® via declaratively defined, stateless APIs.",Java,2025-01-12T23:14:21Z,682.0,2.184,18.0,False,False,55.0,30050.0,1.0,False,False
I2,R013,heartkit,AmbiqAI/heartkit,https://github.com/AmbiqAI/heartkit,Partially,https://github.com/AmbiqAI/heartkit/blob/main/docs/assets/guides/heartkit-architecture.svg,"Healthcare,  medical IoT, Real Time Data Processing",Infrastructure,On-Device Biomedical Signal Inference,Supporting Capabilities,Device/Edge,Low-Power AI Optimization,Supporting Capabilities,Cross-cutting,Health Data Preprocessing & Model Lifecycle,Supporting Capabilities,Edge/Fog,device ↔ fog,tinyml,21.0,Perform AI-based heart monitoring tasks,Jupyter Notebook,2024-10-10T21:46:36Z,43.0,195,1.0,False,False,7.0,39767.0,1.0,False,False
I1,R015,sleepkit,AmbiqAI/sleepkit,https://github.com/AmbiqAI/sleepkit,NO,,Healthcare,Infrastructure,On-Device Sleep Stage Inference,Supporting Capabilities,Device/Edge,Low-Power TinyML Optimization,Supporting Capabilities,Cross-cutting,End-to-End ML Pipeline for Biomedical IoT,Supporting Capabilities,Fog/Edge,device ↔ fog,tinyml,11.0,Perform AI-based sleep monitoring,Jupyter Notebook,2024-10-02T18:08:39Z,29.0,58,1.0,False,False,2.0,31770.0,1.0,False,False
I2,R016,ai8x-synthesis,analogdevicesinc/ai8x-synthesis,https://github.com/analogdevicesinc/ai8x-synthesis,Partially,https://github.com/analogdevicesinc/ai8x-synthesis?tab=readme-ov-file#overview,"Industrial IoT, Efficient AI",Infrastructure,Model Quantization & Synthesis,Supporting Capabilities,Edge,Edge Hardware Optimization,Supporting Capabilities,Device,Toolchain Integration & Automation,Supporting Capabilities,Fog/Device,device ↔ fog,edge ai,59.0,Quantization and Synthesis (Device Specific Code Generation) for ADI's MAX78000 and MAX78002 Edge AI Devices,Python,2024-12-06T14:24:53Z,35.0,305,14.0,False,False,60.0,677035.0,1.0,False,False
I2,R017,ai8x-training,analogdevicesinc/ai8x-training,https://github.com/analogdevicesinc/ai8x-training,Partially,https://github.com/analogdevicesinc/ai8x-training?tab=readme-ov-file#overview,"Computer Vision, Industrial IoT, IoT",Infrastructure,Model Training & Preparation,Supporting Capabilities,Fog/Edge,Hardware-Aware Model Constraint Handling,Supporting Capabilities,Device,AutoML / Training Workflow Integration,Supporting Capabilities,Fog/Edge,device ↔ fog,edge ai,95.0,Model Training for ADI's MAX78000 and MAX78002 Edge AI Devices,Jupyter Notebook,2025-01-14T00:04:03Z,45.0,243,13.0,False,False,91.0,231469.0,1.0,False,False
I2,R018,MaximAI_Documentation,analogdevicesinc/MaximAI_Documentation,https://github.com/analogdevicesinc/MaximAI_Documentation,Partially,https://www.analog.com/en/resources/technical-articles/face-identification-using-max78000.html,Computer Vision,Infrastructure,TinyML Deployment for Resource-Constrained MCUs,Supporting Capabilities,Device,"Model Training, Quantization & Synthesis Workflow",Supporting Capabilities,Fog/Edge,Domain-Specific Edge AI (Vision & Speech),Supporting Capabilities,Cross-cutting,device ↔ fog,edge ai,101.0,START HERE: Documentation for ADI's MAX78000 and MAX78002 Edge AI devices,,2024-05-13T16:18:32Z,5.0,111,13.0,False,False,44.0,276610.0,1.0,False,False
I1,R022,aws-iot-fleetwise-edge,aws/aws-iot-fleetwise-edge,https://github.com/aws/aws-iot-fleetwise-edge,YES,https://github.com/aws/aws-iot-fleetwise-edge?tab=readme-ov-file#aws-iot-fleetwise-architecture,"Autonomous Systems, Smart Environment",Infrastructure,Intelligent Data Collection & Remote Commands,Data Capabilities,Edge/Fog,Store-and-Forward with Edge Buffering,Data Capabilities,Edge,Secure MQTT Communication,Interface Capability,Cross-cutting,Edge ↔ fog,edge-iot,63.0,Reference Implementation for AWS IoT FleetWise,C++,2025-01-15T14:50:35Z,25.0,92,15.0,False,False,45.0,5039.0,1.0,False,False
I2,R023,dem,axem-solutions/dem,https://github.com/axem-solutions/dem,YES,https://github.com/axem-solutions/dem/blob/main/docs/design.md,"IIoT, Real-time data streaming",Infrastructure,Declarative DevEnv Orchestration,Supporting Capabilities,Fog/Edge,Template & Registry Integration,Supporting Capabilities,Cross-cutting,Portable Containerized Tooling,Supporting Capabilities,Cross-cutting,Edge ↔ fog,edge iot,101.0,Containerized Development Environment Manager for embedded development,Python,2025-01-17T17:02:10Z,69.0,495,9.0,False,False,15.0,7597.0,1.0,False,False
I2,R024,azure-iot-edge-identity-translation-lite,Azure-Samples/azure-iot-edge-identity-translation-lite,https://github.com/Azure-Samples/azure-iot-edge-identity-translation-lite,YES,https://github.com/Azure/arc_jumpstart_docs,IIoT,Infrastructure,Identity Translation Gateway,Interface Capability,Fog,Protocol Translation Fabricação,Interface Capability,Device/Fog,Dynamic Device Provisioning (Cloud),Supporting Capabilities,Fog/Cloud,Continuum,edge-iot,22.0,Azure IoT Edge Identity Translation Module sample.,C#,2024-04-22T07:26:46Z,1.0,74,12.0,False,False,22.0,769.0,1.0,False,False
I1,R025,edge-aio-in-a-box,Azure-Samples/edge-aio-in-a-box,https://github.com/Azure-Samples/edge-aio-in-a-box,Partially,https://github.com/Azure-Samples/edge-aio-in-a-box/tree/main?tab=readme-ov-file#architecture,"IIoT, Smart Environments",Infrastructure,Automated Azure Edge Provisioning,Supporting Capabilities,Fog/Cloud,Edge AI Model Lifecycle Management,Supporting Capabilities,Fog/Edge,Interactive Edge Testing & Inference,Supporting Capabilities,Edge/Fog,Continuum,edge-ai,13.0,Azure IoT Operations with Edge AI in-a-Box,Jupyter Notebook,2024-11-12T20:03:08Z,150.0,150,3.0,False,False,4.0,26771.0,1.0,False,False
I1,R028,AI-in-a-Box,Azure/AI-in-a-Box,https://github.com/Azure/AI-in-a-Box,YES,https://github.com/Azure/AI-in-a-Box/blob/main/media/images/edgeai-customvision-architecture.png,"IIoT, Smart Environments, Healthcare",Infrastructure,Deployment Acceleration,Supporting Capabilities,Cloud/Fog,Responsible AI / Security,Supporting Capabilities,cross-cutting,Scalability,Supporting Capabilities,Cloud/Fog,fog ↔ cloud,edge-ai,552.0,AI-in-a-Box leverages the expertise of Microsoft across the globe to develop and provide AI and ML solutions to the technical community.  Our intent is to present a curated collection of solution accelerators that can help engineers establish their AI/ML environments and solutions rapidly and with minimal friction.,Jupyter Notebook,2024-12-12T17:15:34Z,224.0,366,16.0,False,False,189.0,29055.0,1.0,False,False
I2,R029,azure-iotedge,Azure/azure-iotedge,https://github.com/Azure/azure-iotedge,Partially,https://learn.microsoft.com/pt-br/azure/iot-edge/,"Smart Environment, IIoT, Efficient AI, Autonomous Systems",Infrastructure,Edge Module Orchestration & Runtime Management,Supporting Capabilities,Edge/Fog,Local Communication & Store-and-Forward Routing,Data Capabilities,Device/Edge,Secure Identity & Runtime Integrity,Supporting Capabilities,Cross-cutting,device ↔ fog,edge-iot,170.0,The Azure IoT Edge product,PowerShell,2024-11-13T19:42:52Z,57.0,219,18.0,False,False,43.0,212.0,1.0,False,False
I2,R031,iotedge,Azure/iotedge,https://github.com/Azure/iotedge,YES,https://learn.microsoft.com/pt-br/azure/iot-edge/iot-edge-runtime,"IIoT, Smart Environments, Computer Vision",Infrastructure,Containerized Workload Orchestration,Supporting Capabilities,Edge,Local Secure Communication & Store-and-Forward,Data Capabilities,Device/Edge,Cloud-Integrated Device Management,Supporting Capabilities,Fog/Cloud ,Continuum,edge-iot,1472.0,The IoT Edge OSS project,C#,2025-01-17T01:04:54Z,135.0,4.241,92.0,False,False,462.0,43348.0,1.0,False,False
I2,R032,iotedge-eflow,Azure/iotedge-eflow,https://github.com/Azure/iotedge-eflow,YES,https://learn.microsoft.com/pt-br/azure/iot-edge/iot-edge-for-linux-on-windows,"IIoT, Industry 4.0",Infrastructure,Cross-Platform Edge Runtime Hosting,Supporting Capabilities,Edge/Fog,Containerized Workload Execution & Management,Supporting Capabilities,Edge,Cloud-Integrated Device Orchestration,Supporting Capabilities,Fog/Cloud ,Continuum,edge-iot,51.0,Azure IoT Edge for Linux on Windows,PowerShell,2024-11-26T21:13:54Z,1.0,505,8.0,False,False,29.0,54935.0,1.0,False,False
