repo_id,repo_name,url,layer_caps,capability_1,iso_mapping_cap_1 - [research_1],iso_mapping_cap_1 - [research_2],iso_mapping_cap_1 - [referee],capability_2,iso_mapping_cap_2 - [research_1],iso_mapping_cap_2 - [research_2],iso_mapping_cap_2 - [referee],capability_3,iso_mapping_cap_3 - [research_1],iso_mapping_cap_3 - [research_2],iso_mapping_cap_3 - [referee]
R002,magistrala,https://github.com/absmach/magistrala,Continuum,Multi-Protocol IoT Communication Broker,Interface Capability,Interface Capability,Interface Capability,"Identity, Authentication & Authorization Management",Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Scalable Microservices IoT Platform,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R003,supermq,https://github.com/absmach/supermq,Continuum,Multi-Protocol IoT Messaging Broker,Interface Capability,Interface Capability,Interface Capability,Identity & Access Management for IoT,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Scalable Microservices Architecture for IoT,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R009,zilla,https://github.com/aklivity/zilla,Continuum,Event-Driven API Gateway for IoT/Edge,Interface Capability,Interface Capability,Interface Capability,Multi-Protocol Event Streaming Integration,Interface Capability,Interface Capability,Interface Capability,Low-Latency Edge Data Proxying,Data Capabilities,Data Capabilities,Data Capabilities
R024,azure-iot-edge-identity-translation-lite,https://github.com/Azure-Samples/azure-iot-edge-identity-translation-lite,Continuum,Identity Translation Gateway,Interface Capability,Interface Capability,Interface Capability,Protocol Translation Fabricação,Interface Capability,Interface Capability,Interface Capability,Dynamic Device Provisioning (Cloud),Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R033,iotedge-lorawan-starterkit,https://github.com/Azure/iotedge-lorawan-starterkit,Continuum,Protocol Translation Gateway,Interface Capability,Interface Capability,Interface Capability,Edge Network Server for LoRaWAN,Interface Capability,Interface Capability,Interface Capability,Cloud-Integrated Device & Data Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R083,shifu,https://github.com/Edgenesis/shifu,Continuum,Device Virtualization & Digital Twin,Interface Capability,Supporting capability,Interface Capability,Protocol Interoperability & Integration,Interface Capability,Interface Capability,Interface Capability,Kubernetes-Native Orchestration of IoT Devices,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R084,evio,https://github.com/EdgeVPNio/evio,edge ↔ fog,Virtualized Overlay Networking,Interface Capability,Interface Capability,Interface Capability,Decentralized SDN Control & Peer Discovery,Interface Capability,Interface Capability,Interface Capability,Secure Peer-to-Peer Tunneling,Interface Capability,Interface Capability,Interface Capability
R092,GPT-Telegramus,https://github.com/F33RNI/GPT-Telegramus,edge ↔ Cloud,Service/Protocol Interoperability Gateway,Interface Capability,Interface Capability,Interface Capability,Access Control & Operational Telemetry,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Containerized Deployment & Portability,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R093,fabedge,https://github.com/FabEdge/fabedge,edge ↔ fog,Secure Cloud-Edge & Edge-Edge Overlay Networking,Interface Capability,Interface Capability,Interface Capability,Automatic Configuration & Topology-Aware Discovery,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Kubernetes-Native Multi-Cluster Orchestration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R096,pipy,https://github.com/flomesh-io/pipy,edge ↔ Cloud,Programmable Network Proxy & Pipelines,Interface Capability,Interface Capability,Interface Capability,Service Mesh & API Gateway Integration,Interface Capability,Interface Capability,Interface Capability,Lightweight High-Performance Networking,Interface Capability,Interface Capability,Interface Capability
R098,trusted-connector,https://github.com/Fraunhofer-AISEC/trusted-connector,edge ↔ Cloud,Secure Data Exchange Gateway,Interface Capability,Interface Capability,Interface Capability,Data Sovereignty & Policy Enforcement,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Trusted Execution & Compliance Integration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
